PID,category code,subcategory code
GSCY-2TP,7,1
GSCR-RFQ,2,1
GSCR-KPV,3,2
LKZN-9NQ,11,1
K2P7-G93,15,1
GSC2-K77,12,2
27DT-WD4,3,2
27DT-WD4,5,1
27FN-9PR,2,1
2D6L-ZGP,4,1
KCVB-91Y,13,1
G9QL-DNJ,3,3
G9QL-DNJ,6,1
276L-VMS,2,1
LHNG-NCM,2,1
GSZS-S3M,3,2
L2YR-SYL,6,1
GSCB-48Y,0,1
GSCB-48Y,4,1
GSCB-48Y,10,1
LVYY-LVW,6,1
LVYY-LVW,6,3
LVYY-LVW,6,4
LDQK-PSJ,3,2
KHMS-21D,1,6
GSCT-RGL,5,1
GSC1-2WR,1,5
GSC1-2WR,1,6
LYN4-F28,2,1
LZPK-763,2,1
GSCT-Q8M,4,1
GSC2-49N,3,1
GSCR-BXT,13,1
GSCT-NVT,2,1
GSCY-N14,0,1
L6CS-HHJ,3,4
L6CS-HHJ,10,1
GSCK-VFX,2,1
GSCY-MF3,3,2
GSCR-H92,2,1
L465-8C2,0,1
GSCY-5MZ,2,1
GSCT-T3J,7,1
LTJ3-BV8,0,1
LTJ3-BV8,3,5
GSCR-6HC,3,2
GSCB-CSB,4,1
GSCB-CSB,16,1
LL9M-9T8,0,2
LL9M-9T8,3,2
GSCT-QDM,1,1
GSZM-61F,1,4
GSZM-61F,2,1
GSCP-H1M,0,2
KZSS-QZL,16,1
GSCR-6SR,3,2
GSCT-31G,4,1
GSCT-3XX,4,1
GSCT-QCJ,2,1
GSCR-NVW,2,1
GSCT-DRG,3,2
GSZM-WK8,0,1
GSZM-WK8,1,1
GSZM-WK8,1,2
GSCY-V9C,0,1
GSCY-V9C,3,2
GSCY-KWV,11,1
GM2G-D8V,0,1
GM2G-D8V,0,2
GM2G-D8V,4,1
LHYL-FZW,18,1
LDRX-9GR,9,1
LHZ1-93R,3,6
LHZ1-93R,5,1
LHZ1-93R,6,2
GSC1-Y8L,0,2
GSC1-Y8L,8,2
L51H-391,8,2
LBGZ-7HP,1,5
LBGZ-7HP,3,2
L7SM-4VS,5,1
L7SM-4VS,6,2
LVJY-N9K,0,2
LVJY-N9K,5,1
LVJY-N9K,11,1
GSCB-W76,0,2
LYSZ-FBT,0,2
LYSZ-FBT,3,2
GSC1-XKG,2,1
GSCT-Q12,5,2
KPH5-6C2,8,2
L64J-3WG,1,1
GSCT-6N3,8,2
GSCY-72Z,12,2
GSZM-ZCW,0,1
GSZM-ZCW,4,1
GSZM-ZCW,7,1
9NSS-TFC,2,1
L252-8PM,7,1
LTWS-6YZ,3,1
LTWS-6YZ,9,1
GSCL-MGK,2,1
GSCL-MGK,10,1
LVZP-2YF,0,1
LVZP-2YF,6,1
LVZP-2YF,8,2
L1T4-2QQ,0,2
L1T4-2QQ,3,4
L1T4-2QQ,6,1
L1T4-2QQ,6,6
GSWN-K6W,1,1
GSWN-K6W,1,6
L8MH-PQZ,13,2
LR1W-TST,4,1
GSCB-WZH,6,3
L878-XM9,9,1
LJP5-778,14,2
GSCT-L4S,0,1
GSCT-L4S,2,1
LB2J-XS4,1,1
KLWD-PBW,2,1
K2R6-TYT,7,1
KHVZ-Z9X,2,1
GSCB-D8B,11,1
LCRX-2FD,1,1
MYX3-2XW,6,3
LX73-FHL,7,1
LHFN-NZX,6,1
LHFN-NZX,7,1
GSC2-8SC,2,1
KJ25-9DF,5,1
LJLL-YLL,12,1
LDYS-S25,7,1
LY4Q-15T,1,6
K8JZ-SQG,5,1
GSCR-1SY,2,1
L1DW-TJD,4,1
LJJF-47K,8,1
GSCT-7H7,4,1
KHJS-C59,0,2
KHJS-C59,1,6
93FV-8BP,0,2
93FV-8BP,3,2
GSCL-SRF,8,1
2M98-99L,2,1
LVY8-ZF5,16,1
M19J-CM8,5,1
LRHW-T2R,5,2
LKJB-DBQ,0,1
LKJB-DBQ,1,3
LKJB-DBQ,3,4
MWRR-KGV,0,1
MWRR-KGV,1,3
LBYR-2BZ,2,1
LTRW-2R7,0,1
LTRW-2R7,13,1
L26Z-FBX,1,1
L26Z-FBX,1,6
K25H-THD,0,1
K25H-THD,1,3
GSCY-GRC,7,1
GSCB-B2S,7,1
LWYL-XZJ,5,1
L7HN-VJQ,11,1
GSC1-11Y,13,1
LVY3-JQC,1,1
LVY3-JQC,1,2
LRKL-73W,1,1
L2SW-KRD,0,2
L2SW-KRD,4,2
GSCT-QLW,11,1
LKS4-WRL,1,4
LKNT-7LL,2,1
GSCT-L1R,6,1
GSCT-L1R,7,1
GMXL-J61,4,1
KNBR-2QV,1,1
M49N-4MC,15,1
GSCT-X27,6,3
K8Q4-SBB,9,1
K8QG-SP4,0,1
GSCT-HHG,0,1
GSCT-HHG,0,2
GSCT-HHG,2,1
GSCT-LSW,11,1
L1WR-K56,0,2
L1WR-K56,12,2
LCFX-NHM,3,2
LCFX-NHM,18,1
LRRR-LWN,1,1
LT96-XS5,5,1
LT96-XS5,12,1
GSCL-HZ7,18,1
9KFN-4ZF,10,1
L7FN-VPB,2,1
LTWZ-NRX,4,2
LTWZ-NRX,6,1
KLW7-762,2,1
GM5S-6BT,4,1
GM5S-6BT,6,1
GM5S-6BT,7,1
KDW3-7Z4,15,1
LCDP-3JK,7,1
LDB2-LDW,4,1
M4SY-BR6,1,1
M4SY-BR6,1,2
LJN5-BL7,10,2
LJN5-BL7,12,1
GSCY-RD9,11,1
LQY1-B1C,0,1
LQY1-B1C,8,1
GSCY-QWP,2,1
L566-MD9,4,1
27SP-5CY,4,1
GSCK-2FM,1,3
GSCT-F5F,3,6
GSCT-F5F,4,1
GSCT-F5F,4,2
99GL-2CT,6,4
99GL-2CT,9,1
L6PV-K93,2,1
21RP-G87,0,1
21RP-G87,0,2
21RP-G87,2,1
21RP-G87,6,6
GSCR-GQH,2,1
GSCR-GQH,10,1
GSCY-8FV,3,1
GSCY-8FV,6,3
LBD9-VCZ,2,1
