PID,code,social,honorary_or_political,obs15,professional,professional,gent_club,country_club,frat_order,hereditary,undergrad_club
GSCT-G9S,189,0,0,1.0,0,1,0,0,0,0,0
GSCT-G9S,190,0,0,1.0,1,0,0,0,0,0,0
GSCT-G9S,191,0,0,1.0,1,0,0,0,0,0,0
GSCT-G9S,284,1,0,1.0,0,0,1,0,0,0,0
GSC2-BSB,59,1,0,1.0,0,0,0,0,1,0,0
GSC2-BSB,88,0,1,1.0,1,0,0,0,0,0,0
L461-3NG,4,0,0,1.0,1,0,0,0,0,0,0
L461-3NG,59,1,0,1.0,0,0,0,0,1,0,0
L461-3NG,186,0,0,1.0,1,0,0,0,0,0,0
L461-3NG,188,1,0,1.0,0,0,0,0,0,0,0
L461-3NG,338,1,0,1.0,0,0,0,0,0,0,1
GM5H-PGM,17,0,0,1.0,1,0,0,0,0,0,0
GM5H-PGM,46,1,0,1.0,0,0,0,0,0,0,0
GM5H-PGM,82,1,0,1.0,0,0,0,0,0,0,0
GM5H-PGM,87,1,0,1.0,0,0,0,0,0,0,0
GSCY-1D3,5,0,0,1.0,1,0,0,0,0,0,0
GSCY-1D3,26,0,0,1.0,1,0,0,0,0,0,0
GSCY-1D3,168,0,0,1.0,1,0,0,0,0,0,0
9CX5-LL4,46,1,0,1.0,0,0,0,0,0,0,0
9CX5-LL4,69,0,1,1.0,0,0,0,0,0,0,1
9CX5-LL4,87,1,0,1.0,0,0,0,0,0,0,0
9CX5-LL4,186,0,0,1.0,1,0,0,0,0,0,0
9CX5-LL4,191,0,0,1.0,1,0,0,0,0,0,0
9CX5-LL4,203,0,0,1.0,1,0,0,0,0,0,0
9CX5-LL4,225,0,0,1.0,0,0,0,0,0,0,0
MZSV-8PF,46,1,0,1.0,0,0,0,0,0,0,0
MZSV-8PF,75,1,0,1.0,0,0,0,0,0,1,0
MZSV-8PF,87,1,0,1.0,0,0,0,0,0,0,0
MZSV-8PF,169,1,0,1.0,0,0,0,1,0,0,0
MZSV-8PF,216,1,0,1.0,0,0,0,0,0,1,0
GSCM-5CD,32,1,0,1.0,0,0,0,1,0,0,0
GSCM-5CD,40,1,0,1.0,0,0,0,0,0,0,0
GSCM-5CD,87,1,0,1.0,0,0,0,0,0,0,0
GSCM-5CD,132,0,0,1.0,0,0,0,0,0,0,0
GSCM-5CD,166,1,0,1.0,0,0,0,1,0,0,0
GSCM-5CD,314,1,0,1.0,0,0,1,0,0,0,0
LV2R-2V7,82,1,0,1.0,0,0,0,0,0,0,0
LV2R-2V7,274,1,0,1.0,0,0,1,0,0,0,0
GSCT-RJB,59,1,0,1.0,0,0,0,0,1,0,0
GSCT-RJB,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-RJB,168,0,0,1.0,1,0,0,0,0,0,0
GSCK-1WZ,46,1,0,1.0,0,0,0,0,0,0,0
GSCK-1WZ,87,1,0,1.0,0,0,0,0,0,0,0
GSCK-1WZ,196,0,0,1.0,1,0,0,0,0,0,0
GSCK-QBY,9,0,0,1.0,1,0,0,0,0,0,0
GSCK-QBY,19,0,0,1.0,1,0,0,0,0,0,0
GSCK-QBY,59,1,0,1.0,0,0,0,0,1,0,0
GSCK-QBY,61,0,0,1.0,1,0,0,0,0,0,0
GSCK-QBY,175,0,0,1.0,1,0,0,0,0,0,0
GSCK-QBY,177,1,0,1.0,0,0,0,0,0,0,0
GSCK-QBY,215,1,0,1.0,0,0,0,0,1,0,0
LBW1-VSG,70,0,1,1.0,0,0,0,0,0,0,0
LBW1-VSG,87,1,0,1.0,0,0,0,0,0,0,0
GSCT-6F1,97,0,0,1.0,1,0,0,0,0,0,0
GSCT-6F1,196,0,0,1.0,1,0,0,0,0,0,0
GSCT-6F1,208,1,1,1.0,0,0,0,0,0,0,0
LKGH-RR6,175,0,0,1.0,1,0,0,0,0,0,0
GSCY-JJB,22,0,0,1.0,1,0,0,0,0,0,0
GSCY-JJB,175,0,0,1.0,1,0,0,0,0,0,0
GSCB-98X,46,1,0,1.0,0,0,0,0,0,0,0
GSCB-98X,87,1,0,1.0,0,0,0,0,0,0,0
KKQ9-W4C,10,0,0,1.0,1,0,0,0,0,0,0
GSCT-7HT,16,0,0,1.0,0,1,0,0,0,0,0
GSCT-7HT,71,1,0,1.0,0,0,1,0,0,0,0
GSCT-7HT,169,1,0,1.0,0,0,0,1,0,0,0
LY9M-ZL9,14,0,0,1.0,1,0,0,0,0,0,0
LY9M-ZL9,51,1,0,1.0,0,0,0,0,0,0,1
LY9M-ZL9,193,0,0,1.0,1,0,0,0,0,0,0
KH5K-6HB,7,0,1,1.0,1,0,0,0,0,0,0
KH5K-6HB,69,0,1,1.0,0,0,0,0,0,0,1
